"(758, 0.8306010365486145)","(319, 0.824966549873352)","(579, 0.8053596019744873)","(462, 0.7859017848968506)","(69, 0.7747035026550293)"
"(1940, 0.9285702705383301)","(695, 0.9217076301574707)","(112, 0.9108269214630127)","(209, 0.906977653503418)","(1004, 0.8980863094329834)"
"(758, 0.899776816368103)","(48, 0.8793262839317322)","(896, 0.8780406713485718)","(71, 0.8777884244918823)","(921, 0.872081995010376)"
"(1844, 0.9190548658370972)","(1628, 0.9141588807106018)","(1320, 0.9095581769943237)","(1264, 0.9047895669937134)","(291, 0.8953671455383301)"
"(73, 0.934809148311615)","(1344, 0.8707640171051025)","(473, 0.8682069778442383)","(1138, 0.8676633238792419)","(1475, 0.8630962371826172)"
"(74, 0.8970651030540466)","(750, 0.798509955406189)","(746, 0.7812288999557495)","(410, 0.7697281241416931)","(1784, 0.7501595616340637)"
"(75, 0.8543989658355713)","(26, 0.7864680290222168)","(482, 0.7738875150680542)","(424, 0.7696951627731323)","(1646, 0.7685997486114502)"
"(76, 0.9091081619262695)","(633, 0.8641992211341858)","(1508, 0.8626527786254883)","(127, 0.8372213244438171)","(1042, 0.8345363736152649)"
"(77, 0.9357734322547913)","(618, 0.864138126373291)","(13, 0.852872371673584)","(1015, 0.8435450792312622)","(248, 0.843335747718811)"
"(78, 0.8695358037948608)","(348, 0.8149502277374268)","(427, 0.8104594945907593)","(242, 0.7952263355255127)","(868, 0.7918187975883484)"
"(1119, 0.8592516183853149)","(734, 0.850658655166626)","(1159, 0.8384870886802673)","(244, 0.8307970762252808)","(318, 0.8168833255767822)"
"(1682, 0.8221056461334229)","(1661, 0.8110386729240417)","(1164, 0.809387743473053)","(867, 0.8056867122650146)","(16, 0.8046660423278809)"
"(81, 0.8675291538238525)","(271, 0.7669575214385986)","(928, 0.7060866951942444)","(882, 0.6815897822380066)","(181, 0.6625721454620361)"
"(152, 0.7642586827278137)","(82, 0.7465263605117798)","(951, 0.7122712731361389)","(1093, 0.6874057650566101)","(101, 0.6813429594039917)"
"(83, 0.8824621438980103)","(48, 0.8798437714576721)","(761, 0.8583264350891113)","(358, 0.8404660820960999)","(264, 0.8209801912307739)"
"(141, 0.9171375036239624)","(462, 0.8970946669578552)","(219, 0.8962106108665466)","(1121, 0.8812787532806396)","(69, 0.8782613277435303)"
"(85, 0.785321831703186)","(436, 0.703615128993988)","(307, 0.6907976865768433)","(1856, 0.6872072219848633)","(328, 0.6826409697532654)"
"(248, 0.9494059085845947)","(727, 0.9480215311050415)","(1473, 0.9464466571807861)","(1015, 0.9382517337799072)","(1055, 0.9234850406646729)"
"(87, 0.9365211129188538)","(1886, 0.921667754650116)","(1748, 0.8864085674285889)","(159, 0.8831847906112671)","(43, 0.8692123293876648)"
"(383, 0.9400259852409363)","(654, 0.9192926287651062)","(88, 0.9133785963058472)","(1236, 0.9065775871276855)","(137, 0.8911210894584656)"
"(89, 0.8556942939758301)","(1644, 0.8168282508850098)","(733, 0.7982451915740967)","(685, 0.7924054861068726)","(1418, 0.7890933752059937)"
"(90, 0.8897596001625061)","(68, 0.7692974209785461)","(180, 0.7364400029182434)","(1063, 0.7359048128128052)","(1060, 0.7355648279190063)"
"(63, 0.9002305269241333)","(958, 0.8501019477844238)","(91, 0.8458783626556396)","(189, 0.8410807847976685)","(23, 0.8249471187591553)"
"(92, 0.9148885011672974)","(94, 0.8992505073547363)","(294, 0.7879235744476318)","(285, 0.7715885639190674)","(1846, 0.7598678469657898)"
"(1473, 0.9165856838226318)","(93, 0.9095131754875183)","(727, 0.9071778059005737)","(1055, 0.8943468332290649)","(248, 0.8909407258033752)"
"(94, 0.8917586207389832)","(92, 0.7983781099319458)","(1846, 0.7138615250587463)","(281, 0.6893280744552612)","(22, 0.6876052021980286)"
"(42, 0.9171335697174072)","(713, 0.8987656831741333)","(773, 0.8986127376556396)","(684, 0.8955782055854797)","(1519, 0.8952364921569824)"
"(96, 0.9185605049133301)","(86, 0.8610132932662964)","(1120, 0.8443286418914795)","(508, 0.8397940993309021)","(1159, 0.8389842510223389)"
"(756, 0.9603615999221802)","(1411, 0.9579412937164307)","(1041, 0.9556918740272522)","(97, 0.9530375003814697)","(583, 0.950115442276001)"
"(98, 0.9671072959899902)","(215, 0.9361412525177002)","(370, 0.9328341484069824)","(777, 0.9260672330856323)","(1683, 0.9170858860015869)"
"(99, 0.9464686512947083)","(1904, 0.9112131595611572)","(1138, 0.8725602626800537)","(1373, 0.872498631477356)","(404, 0.8564461469650269)"
"(100, 0.814613938331604)","(216, 0.7560834288597107)","(101, 0.7251529693603516)","(1498, 0.721895694732666)","(1933, 0.721045196056366)"
"(1953, 0.8087638020515442)","(1709, 0.8064022660255432)","(1586, 0.7992770671844482)","(1616, 0.7915384769439697)","(101, 0.7831490635871887)"
"(1400, 0.934009313583374)","(1613, 0.9169303774833679)","(1538, 0.9109529852867126)","(1680, 0.8998106122016907)","(213, 0.8967147469520569)"
"(103, 0.8973569869995117)","(360, 0.8078551292419434)","(586, 0.798770546913147)","(106, 0.7971327304840088)","(526, 0.7890452146530151)"
"(104, 0.8522771596908569)","(542, 0.757359504699707)","(514, 0.7273967862129211)","(1821, 0.7157849669456482)","(1238, 0.6941798329353333)"
"(1415, 0.935014545917511)","(1077, 0.9322579503059387)","(1441, 0.9319234490394592)","(797, 0.927674412727356)","(79, 0.9273892641067505)"
